data_di_misurazione,id_station,denominazione,comune,provincia,Longitude,Latitude,tipologia_di_area,tipologia_di_stazione,rete,interesse_rete,id_pollutant,inquinante_misurato,valore_inquinante_misurato,limite,unita_misura,superamenti,indice_qualita,classe_qualita
2019-01-14,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",64,180,"µg/m³",null,36,"buona"
2019-01-14,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",75,180,"µg/m³",null,42,"buona"
2019-01-14,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",50,180,"µg/m³",null,28,"ottima"
2019-01-14,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",49,180,"µg/m³",null,27,"ottima"
2019-01-14,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",56,180,"µg/m³",null,31,"ottima"
2019-01-14,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",44,180,"µg/m³",null,24,"ottima"
2019-01-15,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",79,180,"µg/m³",null,44,"buona"
2019-01-15,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",80,180,"µg/m³",null,44,"buona"
2019-01-15,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",64,180,"µg/m³",null,36,"buona"
2019-01-15,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",65,180,"µg/m³",null,36,"buona"
2019-01-15,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",77,180,"µg/m³",null,43,"buona"
2019-01-15,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",51,180,"µg/m³",null,28,"ottima"
2019-01-16,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",74,180,"µg/m³",null,41,"buona"
2019-01-16,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",74,180,"µg/m³",null,41,"buona"
2019-01-16,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",49,180,"µg/m³",null,27,"ottima"
2019-01-16,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",65,180,"µg/m³",null,36,"buona"
2019-01-16,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",75,180,"µg/m³",null,42,"buona"
2019-01-16,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",49,180,"µg/m³",null,27,"ottima"
2019-01-17,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",72,180,"µg/m³",null,40,"buona"
2019-01-17,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",85,180,"µg/m³",null,47,"buona"
2019-01-17,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",64,180,"µg/m³",null,36,"buona"
2019-01-17,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",60,180,"µg/m³",null,33,"buona"
2019-01-17,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",79,180,"µg/m³",null,44,"buona"
2019-01-17,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",45,180,"µg/m³",null,25,"ottima"
2019-01-18,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",73,180,"µg/m³",null,41,"buona"
2019-01-18,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",null,180,"µg/m³",null,null,null
2019-01-18,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",62,180,"µg/m³",null,34,"buona"
2019-01-18,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",58,180,"µg/m³",null,32,"ottima"
2019-01-18,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",78,180,"µg/m³",null,43,"buona"
2019-01-18,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",47,180,"µg/m³",null,26,"ottima"
2019-01-19,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",76,180,"µg/m³",null,42,"buona"
2019-01-19,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",80,180,"µg/m³",null,44,"buona"
2019-01-19,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",48,180,"µg/m³",null,27,"ottima"
2019-01-19,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",68,180,"µg/m³",null,38,"buona"
2019-01-19,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",80,180,"µg/m³",null,44,"buona"
2019-01-19,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",52,180,"µg/m³",null,29,"ottima"
2019-01-20,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",79,180,"µg/m³",null,44,"buona"
2019-01-20,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",79,180,"µg/m³",null,44,"buona"
2019-01-20,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",67,180,"µg/m³",null,37,"buona"
2019-01-20,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",60,180,"µg/m³",null,33,"buona"
2019-01-20,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",83,180,"µg/m³",null,46,"buona"
2019-01-20,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",50,180,"µg/m³",null,28,"ottima"
2019-01-21,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",73,180,"µg/m³",null,41,"buona"
2019-01-21,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","5","O3",77,180,"µg/m³",null,43,"buona"
2019-01-21,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","5","O3",55,180,"µg/m³",null,31,"ottima"
2019-01-21,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","5","O3",60,180,"µg/m³",null,33,"buona"
2019-01-21,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",74,180,"µg/m³",null,41,"buona"
2019-01-21,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","5","O3",48,180,"µg/m³",null,27,"ottima"
2019-01-22,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","5","O3",78,180,"µg/m³",null,43,"buona"
