Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
08/05/2023;411.323.086;168.318.687;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;no;no;16:40;16:50;10
09/05/2023;4.110.131.776;1.687.977.485;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;01:15;01:20;5
09/05/2023;4.111.285.118;1.685.299.515;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Scarso;si;si;07:00;07:05;5
09/05/2023;4.112.173;1.685.874;si;Strada Urbana;Rettilineo;Sdrucciolevole (sabbia);Asfaltata;Sereno;Normale;no;si;08:25;08:35;10
09/05/2023;411.168;1.689.468;si;Strada Urbana;Curva a visuale libera;Asciutto;Asfaltata;Sereno;Scarso;no;no;00:00;00:00;0
09/05/2023;4.111.425;1.685.018;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Nuvoloso;Intenso;no;si;14:50;15:00;10
09/05/2023;41.1;1.688.702;si;Strada Urbana;Rotatoria;Asciutto;Asfaltata;Sereno;Intenso;no;no;00:00;00:00;0
09/05/2023;4.113.869;1.681.655;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;19:30;19:45;15
09/05/2023;4.111.765;1.687.848;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;20:25;20:45;20
09/05/2023;4.110.283;1.680.929;no;Statale;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;00:40;00:50;10
10/05/2023;4.110.374;1.688.274;si;Strada Urbana;Curva a visuale libera;Asciutto;Asfaltata;Sereno;Intenso;no;no;08:30;08:50;20
10/05/2023;4.110.466;1.685.781;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;09:25;09:35;10
10/05/2023;4.110.858;1.688.474;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;si;15:30;15:45;15
10/05/2023;4.115.578;167.551;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;18:20;18:30;10
10/05/2023;411.086.706;168.877.854;si;Strada Urbana;Cavalcavia;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;18:00;18:10;10
10/05/2023;4.109.773;1.688.159;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;no;18:20;18:30;10
10/05/2023;4.108.732.818;1.686.923.846;si;Strada Urbana;Incrocio;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;si;si;21:30;21:40;10
10/05/2023;4.112.608;1.685.168;si;Strada Urbana;Intersezione non regolata/non segnalata;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;si;23:10;23:15;5
11/05/2023;4.111.865.266;1.686.931.347;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;07:50;08:05;15
11/05/2023;4.111.841;1.684.217;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;si;08:15;08:30;15
11/05/2023;4.110.843;1.688.476;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Intenso;no;no;08:15;08:30;15
11/05/2023;4.110.709;1.686.004;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Intenso;no;no;10:05;10:20;15
11/05/2023;4.106.683;1.686.612;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;10:40;10:45;5
11/05/2023;4.110.729;1.686.006;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Intenso;no;no;12:30;12:45;15
11/05/2023;4.112.075;1.685.819;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;si;13:00;13:10;10
11/05/2023;4.112.743;1.679.065;si;Strada Urbana;Intersezione semaforizzata;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;si;13:20;13:30;10
11/05/2023;411.136;1.684.856;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Intenso;no;si;14:30;14:40;10
11/05/2023;4.111.249;1.687.351;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;no;no;18:40;18:45;5
11/05/2023;4.110.167;1.688.088;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;19:10;19:25;15
11/05/2023;411.079;1.682.288;si;Strada Urbana;Intersezione semaforizzata;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;19:40;19:50;10
11/05/2023;4.111.908;1.685.888;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Sereno;Scarso;no;no;21:40;21:50;10
12/05/2023;4.112.304;1.685.469;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;06:00;06:05;5
12/05/2023;4.109.993;1.689.512;si;Strada Urbana;Curva senza visuale libera;Asciutto;Asfaltata;Sereno;Scarso;no;si;07:05;07:08;3
12/05/2023;4.112.381;1.679.891;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;00:00;00:00;0
12/05/2023;4.111.364;1.686.897;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;08:40;08:50;10
12/05/2023;4.108.953;1.687.228;no;Statale;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;no;00:00;00:00;0
12/05/2023;411.009;1.688.849;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;no;11:30;11:40;10
12/05/2023;411.025.859;1.687.585.916;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;si;15:20;15:30;10
12/05/2023;4.107.358;1.686.132;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Nuvoloso;Normale;no;si;15:55;16:10;15
12/05/2023;411.222;1.686.119;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;17:40;17:50;10
