NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore0
Altamura - Via Santeramo;05/05/2023;Bari;Altamura;O3;92
Altamura - Via Santeramo;06/05/2023;Bari;Altamura;O3;116
Altamura - Via Santeramo;07/05/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;08/05/2023;Bari;Altamura;O3;96
Altamura - Via Santeramo;09/05/2023;Bari;Altamura;O3;83
Altamura - Via Santeramo;10/05/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;11/05/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;12/05/2023;Bari;Altamura;O3;72
Altamura - Via Santeramo;13/05/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;14/05/2023;Bari;Altamura;O3;73
Altamura - Via Santeramo;15/05/2023;Bari;Altamura;O3;72
Altamura - Via Santeramo;16/05/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;17/05/2023;Bari;Altamura;O3;73
Altamura - Via Santeramo;18/05/2023;Bari;Altamura;O3;74
Altamura - Via Santeramo;19/05/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;20/05/2023;Bari;Altamura;O3;78
Altamura - Via Santeramo;21/05/2023;Bari;Altamura;O3;84
Altamura - Via Santeramo;22/05/2023;Bari;Altamura;O3;87
Altamura - Via Santeramo;23/05/2023;Bari;Altamura;O3;104
Altamura - Via Santeramo;24/05/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;25/05/2023;Bari;Altamura;O3;118
Altamura - Via Santeramo;26/05/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;27/05/2023;Bari;Altamura;O3;106
Altamura - Via Santeramo;28/05/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;29/05/2023;Bari;Altamura;O3;108
Altamura - Via Santeramo;30/05/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;31/05/2023;Bari;Altamura;O3;88
Altamura - Via Santeramo;01/06/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;02/06/2023;Bari;Altamura;O3;103
Altamura - Via Santeramo;03/06/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;04/06/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;05/06/2023;Bari;Altamura;O3;66
Altamura - Via Santeramo;06/06/2023;Bari;Altamura;O3;82
Altamura - Via Santeramo;07/06/2023;Bari;Altamura;O3;94
Altamura - Via Santeramo;08/06/2023;Bari;Altamura;O3;97
Altamura - Via Santeramo;09/06/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;10/06/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;11/06/2023;Bari;Altamura;O3;88
Altamura - Via Santeramo;12/06/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;13/06/2023;Bari;Altamura;O3;100
Altamura - Via Santeramo;14/06/2023;Bari;Altamura;O3;81
Altamura - Via Santeramo;15/06/2023;Bari;Altamura;O3;89
Altamura - Via Santeramo;16/06/2023;Bari;Altamura;O3;101
Altamura - Via Santeramo;17/06/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;18/06/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;19/06/2023;Bari;Altamura;O3;119
Altamura - Via Santeramo;20/06/2023;Bari;Altamura;O3;122
Altamura - Via Santeramo;21/06/2023;Bari;Altamura;O3;116
Altamura - Via Santeramo;22/06/2023;Bari;Altamura;O3;120
Altamura - Via Santeramo;23/06/2023;Bari;Altamura;O3;82
Altamura - Via Santeramo;24/06/2023;Bari;Altamura;O3;113
Altamura - Via Santeramo;25/06/2023;Bari;Altamura;O3;86
Altamura - Via Santeramo;26/06/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;27/06/2023;Bari;Altamura;O3;99
Altamura - Via Santeramo;28/06/2023;Bari;Altamura;O3;110
Altamura - Via Santeramo;29/06/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;30/06/2023;Bari;Altamura;O3;98
Altamura - Via Santeramo;01/07/2023;Bari;Altamura;O3;89
Altamura - Via Santeramo;02/07/2023;Bari;Altamura;O3;110
Altamura - Via Santeramo;03/07/2023;Bari;Altamura;O3;110
Altamura - Via Santeramo;04/07/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;05/07/2023;Bari;Altamura;O3;99
Altamura - Via Santeramo;06/07/2023;Bari;Altamura;O3;95
Altamura - Via Santeramo;07/07/2023;Bari;Altamura;O3;93
Altamura - Via Santeramo;08/07/2023;Bari;Altamura;O3;102
Altamura - Via Santeramo;09/07/2023;Bari;Altamura;O3;113
Altamura - Via Santeramo;10/07/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;11/07/2023;Bari;Altamura;O3;131
Altamura - Via Santeramo;12/07/2023;Bari;Altamura;O3;118
Altamura - Via Santeramo;13/07/2023;Bari;Altamura;O3;105
Altamura - Via Santeramo;14/07/2023;Bari;Altamura;O3;112
Altamura - Via Santeramo;15/07/2023;Bari;Altamura;O3;120
Altamura - Via Santeramo;16/07/2023;Bari;Altamura;O3;131
Altamura - Via Santeramo;17/07/2023;Bari;Altamura;O3;132
Altamura - Via Santeramo;18/07/2023;Bari;Altamura;O3;110
