NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;29/05/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;30/05/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;31/05/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;01/06/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;02/06/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;03/06/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;04/06/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;05/06/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;06/06/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;07/06/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;08/06/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;09/06/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;10/06/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;11/06/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;12/06/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;13/06/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;14/06/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;15/06/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;16/06/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;17/06/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;18/06/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;19/06/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;20/06/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;21/06/2023;Bari;Altamura;PM10;30;7
Altamura - Via Santeramo;22/06/2023;Bari;Altamura;PM10;35;7
Altamura - Via Santeramo;23/06/2023;Bari;Altamura;PM10;56;7
Altamura - Via Santeramo;24/06/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;25/06/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;26/06/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;28/06/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;29/06/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;30/06/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;01/07/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;02/07/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;03/07/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;04/07/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;05/07/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;06/07/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;07/07/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;08/07/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;09/07/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;10/07/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;11/07/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;12/07/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;13/07/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;14/07/2023;Bari;Altamura;PM10;35;7
Altamura - Via Santeramo;15/07/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;16/07/2023;Bari;Altamura;PM10;28;7
Altamura - Via Santeramo;17/07/2023;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;18/07/2023;Bari;Altamura;PM10;36;7
Altamura - Via Santeramo;19/07/2023;Bari;Altamura;PM10;42;7
Altamura - Via Santeramo;20/07/2023;Bari;Altamura;PM10;58;7
Altamura - Via Santeramo;21/07/2023;Bari;Altamura;PM10;60;7
Altamura - Via Santeramo;22/07/2023;Bari;Altamura;PM10;47;7
Altamura - Via Santeramo;23/07/2023;Bari;Altamura;PM10;41;7
Altamura - Via Santeramo;24/07/2023;Bari;Altamura;PM10;41;7
Altamura - Via Santeramo;25/07/2023;Bari;Altamura;PM10;58;7
Altamura - Via Santeramo;26/07/2023;Bari;Altamura;PM10;33;7
Altamura - Via Santeramo;27/07/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;28/07/2023;Bari;Altamura;PM10;21;7
